"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1989";"61 years";-2
"Total";"1989";"62 years";-2
"Total";"1989";"63 years";1
"Total";"1989";"64 years";0
"Total";"1989";"65 years";0
"Total";"1989";"66 years";-2
"Total";"1989";"67 years";-1
"Total";"1989";"68 years";-2
"Total";"1989";"69 years";-1
"Total";"1989";"70 years";-1
"Total";"1989";"71 years";0
"Total";"1989";"72 years";-1
"Total";"1989";"73 years";1
"Total";"1989";"74 years";0
"Total";"1989";"75 years";-
"Total";"1989";"76 years";-
"Total";"1989";"77 years";1
"Total";"1989";"78 years";-1
"Total";"1989";"79 years";1
"Total";"1989";"80 years";-
"Total";"1989";"81 years";1
"Total";"1989";"82 years";-
"Total";"1989";"83 years";-
"Total";"1989";"84 years";-
"Total";"1989";"85 years";-1
"Total";"1989";"86 years";-
"Total";"1989";"87 years";-
"Total";"1989";"88 years";-2
"Total";"1989";"89 years";-
"Total";"1989";"90 years";-
"Total";"1989";"91 years";-
"Total";"1989";"92 years";-
"Total";"1989";"93 years";-
"Total";"1989";"94 years";-
"Total";"1989";"95 years";-
"Total";"1989";"96 years";-
"Total";"1989";"97 years";-
"Total";"1989";"98 years";-
"Total";"1989";"99 years";-
"Total";"1989";"100 years";-
"Total";"1989";"101 years";-
"Total";"1989";"102 years";-
"Total";"1989";"103 years";-
"Total";"1989";"104 years";-
"Total";"1989";"105 years";-
"Total";"1989";"106 years";-
"Total";"1989";"107 years";-
"Total";"1989";"108 years";-
"Total";"1989";"109 years";-
"Total";"1989";"110 years";-
"Total";"1990";"1 year";-25
"Total";"1990";"2 years";-31
"Total";"1990";"3 years";-25
"Total";"1990";"4 years";-23
"Total";"1990";"5 years";-23
"Total";"1990";"6 years";-8
"Total";"1990";"7 years";-10
"Total";"1990";"8 years";-7
"Total";"1990";"9 years";2
"Total";"1990";"10 years";1
"Total";"1990";"11 years";-5
"Total";"1990";"12 years";-8
"Total";"1990";"13 years";-12
"Total";"1990";"14 years";1
"Total";"1990";"15 years";-15
"Total";"1990";"16 years";8
"Total";"1990";"17 years";-19
"Total";"1990";"18 years";2
"Total";"1990";"19 years";-14
"Total";"1990";"20 years";-41
"Total";"1990";"21 years";-46
"Total";"1990";"22 years";-53
"Total";"1990";"23 years";-32
"Total";"1990";"24 years";-53
"Total";"1990";"25 years";-30
"Total";"1990";"26 years";-26
"Total";"1990";"27 years";-16
"Total";"1990";"28 years";-47
"Total";"1990";"29 years";-31
"Total";"1990";"30 years";-57
"Total";"1990";"31 years";-2
"Total";"1990";"32 years";1
"Total";"1990";"33 years";-1
"Total";"1990";"34 years";2
"Total";"1990";"35 years";7
"Total";"1990";"36 years";-2
"Total";"1990";"37 years";2
"Total";"1990";"38 years";-15
