"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"2002";"53 years";5
"Total";"2002";"54 years";-2
"Total";"2002";"55 years";-6
"Total";"2002";"56 years";0
"Total";"2002";"57 years";2
"Total";"2002";"58 years";2
"Total";"2002";"59 years";-2
"Total";"2002";"60 years";5
"Total";"2002";"61 years";3
"Total";"2002";"62 years";5
"Total";"2002";"63 years";6
"Total";"2002";"64 years";1
"Total";"2002";"65 years";9
"Total";"2002";"66 years";2
"Total";"2002";"67 years";-3
"Total";"2002";"68 years";1
"Total";"2002";"69 years";4
"Total";"2002";"70 years";2
"Total";"2002";"71 years";2
"Total";"2002";"72 years";3
"Total";"2002";"73 years";3
"Total";"2002";"74 years";2
"Total";"2002";"75 years";-1
"Total";"2002";"76 years";2
"Total";"2002";"77 years";-
"Total";"2002";"78 years";-3
"Total";"2002";"79 years";-1
"Total";"2002";"80 years";-
"Total";"2002";"81 years";1
"Total";"2002";"82 years";-
"Total";"2002";"83 years";1
"Total";"2002";"84 years";-
"Total";"2002";"85 years";-
"Total";"2002";"86 years";-
"Total";"2002";"87 years";-
"Total";"2002";"88 years";-
"Total";"2002";"89 years";1
"Total";"2002";"90 years";-
"Total";"2002";"91 years";-
"Total";"2002";"92 years";-
"Total";"2002";"93 years";-
"Total";"2002";"94 years";-
"Total";"2002";"95 years";-
"Total";"2002";"96 years";-
"Total";"2002";"97 years";-
"Total";"2002";"98 years";-
"Total";"2002";"99 years";-
"Total";"2002";"100 years";-
"Total";"2002";"101 years";-
"Total";"2002";"102 years";-
"Total";"2002";"103 years";-
"Total";"2002";"104 years";-
"Total";"2002";"105 years";-
"Total";"2002";"106 years";-
"Total";"2002";"107 years";-
"Total";"2002";"108 years";-
"Total";"2002";"109 years";-
"Total";"2002";"110 years";-
"Total";"2003";"1 year";-22
"Total";"2003";"2 years";-17
"Total";"2003";"3 years";9
"Total";"2003";"4 years";6
"Total";"2003";"5 years";-13
"Total";"2003";"6 years";11
"Total";"2003";"7 years";0
"Total";"2003";"8 years";17
"Total";"2003";"9 years";14
"Total";"2003";"10 years";14
"Total";"2003";"11 years";7
"Total";"2003";"12 years";18
"Total";"2003";"13 years";15
"Total";"2003";"14 years";14
"Total";"2003";"15 years";20
"Total";"2003";"16 years";39
"Total";"2003";"17 years";25
"Total";"2003";"18 years";31
"Total";"2003";"19 years";4
"Total";"2003";"20 years";-59
"Total";"2003";"21 years";-61
"Total";"2003";"22 years";-42
"Total";"2003";"23 years";-55
"Total";"2003";"24 years";-77
"Total";"2003";"25 years";-59
"Total";"2003";"26 years";-26
"Total";"2003";"27 years";-39
"Total";"2003";"28 years";-29
"Total";"2003";"29 years";-23
"Total";"2003";"30 years";-39
"Total";"2003";"31 years";-22
"Total";"2003";"32 years";-3
"Total";"2003";"33 years";12
"Total";"2003";"34 years";4
"Total";"2003";"35 years";0
"Total";"2003";"36 years";2
"Total";"2003";"37 years";2
"Total";"2003";"38 years";18
"Total";"2003";"39 years";-10
"Total";"2003";"40 years";5
"Total";"2003";"41 years";13
"Total";"2003";"42 years";11
"Total";"2003";"43 years";8
"Total";"2003";"44 years";11
"Total";"2003";"45 years";6
"Total";"2003";"46 years";-2
"Total";"2003";"47 years";9
"Total";"2003";"48 years";8
"Total";"2003";"49 years";10
"Total";"2003";"50 years";9
"Total";"2003";"51 years";1
"Total";"2003";"52 years";10
"Total";"2003";"53 years";6
"Total";"2003";"54 years";5
"Total";"2003";"55 years";-6
"Total";"2003";"56 years";4
"Total";"2003";"57 years";-2
"Total";"2003";"58 years";-1
"Total";"2003";"59 years";4
"Total";"2003";"60 years";3
"Total";"2003";"61 years";4
"Total";"2003";"62 years";1
"Total";"2003";"63 years";-1
"Total";"2003";"64 years";3
"Total";"2003";"65 years";1
"Total";"2003";"66 years";3
"Total";"2003";"67 years";4
"Total";"2003";"68 years";0
"Total";"2003";"69 years";-1
"Total";"2003";"70 years";-1
"Total";"2003";"71 years";0
"Total";"2003";"72 years";5
"Total";"2003";"73 years";1
"Total";"2003";"74 years";-1
"Total";"2003";"75 years";0
"Total";"2003";"76 years";-1
"Total";"2003";"77 years";1
"Total";"2003";"78 years";-1
"Total";"2003";"79 years";1
"Total";"2003";"80 years";-
"Total";"2003";"81 years";-
"Total";"2003";"82 years";2
"Total";"2003";"83 years";1
"Total";"2003";"84 years";-
"Total";"2003";"85 years";1
"Total";"2003";"86 years";-
"Total";"2003";"87 years";2
"Total";"2003";"88 years";-
"Total";"2003";"89 years";-
"Total";"2003";"90 years";-
"Total";"2003";"91 years";-
"Total";"2003";"92 years";-
"Total";"2003";"93 years";-
"Total";"2003";"94 years";-
"Total";"2003";"95 years";-
"Total";"2003";"96 years";-
"Total";"2003";"97 years";-
"Total";"2003";"98 years";-
"Total";"2003";"99 years";-
"Total";"2003";"100 years";-
"Total";"2003";"101 years";-
"Total";"2003";"102 years";-
"Total";"2003";"103 years";-
"Total";"2003";"104 years";-
"Total";"2003";"105 years";-
"Total";"2003";"106 years";-
"Total";"2003";"107 years";-
"Total";"2003";"108 years";-
"Total";"2003";"109 years";-
"Total";"2003";"110 years";-
"Total";"2004";"1 year";15
"Total";"2004";"2 years";-9
"Total";"2004";"3 years";-24
"Total";"2004";"4 years";-9
"Total";"2004";"5 years";-9
"Total";"2004";"6 years";3
"Total";"2004";"7 years";8
"Total";"2004";"8 years";9
"Total";"2004";"9 years";15
"Total";"2004";"10 years";9
"Total";"2004";"11 years";0
"Total";"2004";"12 years";13
"Total";"2004";"13 years";4
"Total";"2004";"14 years";15
"Total";"2004";"15 years";19
"Total";"2004";"16 years";22
"Total";"2004";"17 years";-18
"Total";"2004";"18 years";2
"Total";"2004";"19 years";12
"Total";"2004";"20 years";-51
"Total";"2004";"21 years";-12
"Total";"2004";"22 years";-47
"Total";"2004";"23 years";-12
"Total";"2004";"24 years";-27
"Total";"2004";"25 years";-6
"Total";"2004";"26 years";5
"Total";"2004";"27 years";9
"Total";"2004";"28 years";10
"Total";"2004";"29 years";29
"Total";"2004";"30 years";47
"Total";"2004";"31 years";16
"Total";"2004";"32 years";17
"Total";"2004";"33 years";-4
"Total";"2004";"34 years";15
"Total";"2004";"35 years";1
"Total";"2004";"36 years";39
"Total";"2004";"37 years";17
"Total";"2004";"38 years";34
"Total";"2004";"39 years";13
"Total";"2004";"40 years";22
"Total";"2004";"41 years";31
"Total";"2004";"42 years";33
"Total";"2004";"43 years";7
"Total";"2004";"44 years";8
"Total";"2004";"45 years";10
"Total";"2004";"46 years";10
"Total";"2004";"47 years";12
"Total";"2004";"48 years";17
"Total";"2004";"49 years";8
"Total";"2004";"50 years";12
"Total";"2004";"51 years";17
"Total";"2004";"52 years";15
"Total";"2004";"53 years";12
"Total";"2004";"54 years";12
"Total";"2004";"55 years";10
"Total";"2004";"56 years";19
"Total";"2004";"57 years";7
"Total";"2004";"58 years";9
"Total";"2004";"59 years";5
"Total";"2004";"60 years";6
"Total";"2004";"61 years";8
"Total";"2004";"62 years";2
"Total";"2004";"63 years";5
"Total";"2004";"64 years";0
"Total";"2004";"65 years";2
"Total";"2004";"66 years";3
"Total";"2004";"67 years";0
"Total";"2004";"68 years";4
"Total";"2004";"69 years";2
"Total";"2004";"70 years";1
"Total";"2004";"71 years";4
"Total";"2004";"72 years";1
"Total";"2004";"73 years";-1
"Total";"2004";"74 years";0
"Total";"2004";"75 years";2
"Total";"2004";"76 years";2
"Total";"2004";"77 years";1
"Total";"2004";"78 years";0
"Total";"2004";"79 years";-1
"Total";"2004";"80 years";1
"Total";"2004";"81 years";-1
"Total";"2004";"82 years";-
"Total";"2004";"83 years";0
"Total";"2004";"84 years";-
"Total";"2004";"85 years";-
"Total";"2004";"86 years";-1
"Total";"2004";"87 years";-
"Total";"2004";"88 years";-
"Total";"2004";"89 years";-
"Total";"2004";"90 years";1
"Total";"2004";"91 years";-
"Total";"2004";"92 years";-
"Total";"2004";"93 years";-
"Total";"2004";"94 years";-
"Total";"2004";"95 years";-
"Total";"2004";"96 years";-
"Total";"2004";"97 years";-
"Total";"2004";"98 years";-
"Total";"2004";"99 years";-
"Total";"2004";"100 years";-
"Total";"2004";"101 years";-
"Total";"2004";"102 years";-
"Total";"2004";"103 years";-
"Total";"2004";"104 years";-
"Total";"2004";"105 years";-
"Total";"2004";"106 years";-
"Total";"2004";"107 years";-
"Total";"2004";"108 years";-
"Total";"2004";"109 years";-
"Total";"2004";"110 years";-
"Total";"2005";"1 year";23
"Total";"2005";"2 years";15
"Total";"2005";"3 years";11
"Total";"2005";"4 years";0
"Total";"2005";"5 years";0
"Total";"2005";"6 years";20
"Total";"2005";"7 years";46
"Total";"2005";"8 years";11
"Total";"2005";"9 years";32
"Total";"2005";"10 years";28
"Total";"2005";"11 years";20
"Total";"2005";"12 years";43
"Total";"2005";"13 years";30
"Total";"2005";"14 years";31
"Total";"2005";"15 years";34
"Total";"2005";"16 years";38
"Total";"2005";"17 years";29
"Total";"2005";"18 years";37
"Total";"2005";"19 years";87
"Total";"2005";"20 years";41
"Total";"2005";"21 years";49
"Total";"2005";"22 years";93
"Total";"2005";"23 years";97
"Total";"2005";"24 years";87
"Total";"2005";"25 years";134
"Total";"2005";"26 years";121
"Total";"2005";"27 years";136
"Total";"2005";"28 years";107
"Total";"2005";"29 years";79
"Total";"2005";"30 years";113
"Total";"2005";"31 years";121
"Total";"2005";"32 years";103
"Total";"2005";"33 years";122
"Total";"2005";"34 years";118
"Total";"2005";"35 years";73
"Total";"2005";"36 years";107
"Total";"2005";"37 years";119
"Total";"2005";"38 years";96
"Total";"2005";"39 years";82
"Total";"2005";"40 years";97
"Total";"2005";"41 years";99
"Total";"2005";"42 years";78
"Total";"2005";"43 years";70
"Total";"2005";"44 years";77
"Total";"2005";"45 years";99
"Total";"2005";"46 years";102
"Total";"2005";"47 years";85
"Total";"2005";"48 years";84
"Total";"2005";"49 years";66
"Total";"2005";"50 years";74
"Total";"2005";"51 years";50
"Total";"2005";"52 years";39
"Total";"2005";"53 years";32
"Total";"2005";"54 years";55
"Total";"2005";"55 years";26
"Total";"2005";"56 years";28
"Total";"2005";"57 years";33
"Total";"2005";"58 years";15
"Total";"2005";"59 years";12
"Total";"2005";"60 years";3
"Total";"2005";"61 years";15
"Total";"2005";"62 years";1
"Total";"2005";"63 years";9
"Total";"2005";"64 years";6
"Total";"2005";"65 years";0
"Total";"2005";"66 years";3
"Total";"2005";"67 years";3
"Total";"2005";"68 years";6
"Total";"2005";"69 years";-1
"Total";"2005";"70 years";5
"Total";"2005";"71 years";2
"Total";"2005";"72 years";0
"Total";"2005";"73 years";-2
"Total";"2005";"74 years";-1
"Total";"2005";"75 years";-
"Total";"2005";"76 years";0
"Total";"2005";"77 years";-1
"Total";"2005";"78 years";-1
"Total";"2005";"79 years";0
"Total";"2005";"80 years";-1
"Total";"2005";"81 years";0
"Total";"2005";"82 years";-1
"Total";"2005";"83 years";-
"Total";"2005";"84 years";-
"Total";"2005";"85 years";-
"Total";"2005";"86 years";-
"Total";"2005";"87 years";-
"Total";"2005";"88 years";-1
"Total";"2005";"89 years";-
"Total";"2005";"90 years";-
"Total";"2005";"91 years";-
"Total";"2005";"92 years";-1
"Total";"2005";"93 years";-
"Total";"2005";"94 years";-
"Total";"2005";"95 years";-
"Total";"2005";"96 years";-
"Total";"2005";"97 years";-
"Total";"2005";"98 years";-
"Total";"2005";"99 years";-
"Total";"2005";"100 years";-
"Total";"2005";"101 years";-
"Total";"2005";"102 years";-
"Total";"2005";"103 years";-
"Total";"2005";"104 years";-
"Total";"2005";"105 years";-
"Total";"2005";"106 years";-
"Total";"2005";"107 years";-
"Total";"2005";"108 years";-
"Total";"2005";"109 years";-
"Total";"2005";"110 years";-
"Total";"2006";"1 year";38
"Total";"2006";"2 years";-9
"Total";"2006";"3 years";-2
"Total";"2006";"4 years";24
"Total";"2006";"5 years";13
"Total";"2006";"6 years";26
"Total";"2006";"7 years";22
"Total";"2006";"8 years";21
"Total";"2006";"9 years";2
"Total";"2006";"10 years";23
"Total";"2006";"11 years";11
"Total";"2006";"12 years";17
"Total";"2006";"13 years";8
"Total";"2006";"14 years";14
"Total";"2006";"15 years";27
"Total";"2006";"16 years";28
"Total";"2006";"17 years";18
"Total";"2006";"18 years";48
"Total";"2006";"19 years";65
"Total";"2006";"20 years";92
"Total";"2006";"21 years";128
"Total";"2006";"22 years";115
"Total";"2006";"23 years";103
"Total";"2006";"24 years";170
"Total";"2006";"25 years";180
"Total";"2006";"26 years";170
"Total";"2006";"27 years";232
"Total";"2006";"28 years";203
"Total";"2006";"29 years";205
"Total";"2006";"30 years";180
"Total";"2006";"31 years";169
"Total";"2006";"32 years";131
"Total";"2006";"33 years";143
"Total";"2006";"34 years";141
"Total";"2006";"35 years";147
"Total";"2006";"36 years";148
"Total";"2006";"37 years";122
"Total";"2006";"38 years";109
"Total";"2006";"39 years";128
"Total";"2006";"40 years";142
"Total";"2006";"41 years";127
"Total";"2006";"42 years";137
"Total";"2006";"43 years";139
"Total";"2006";"44 years";117
"Total";"2006";"45 years";126
"Total";"2006";"46 years";125
"Total";"2006";"47 years";144
"Total";"2006";"48 years";116
"Total";"2006";"49 years";83
"Total";"2006";"50 years";96
"Total";"2006";"51 years";66
"Total";"2006";"52 years";74
"Total";"2006";"53 years";66
"Total";"2006";"54 years";30
"Total";"2006";"55 years";49
"Total";"2006";"56 years";32
"Total";"2006";"57 years";40
"Total";"2006";"58 years";18
"Total";"2006";"59 years";1
"Total";"2006";"60 years";12
"Total";"2006";"61 years";-5
"Total";"2006";"62 years";-4
"Total";"2006";"63 years";14
"Total";"2006";"64 years";-2
"Total";"2006";"65 years";0
"Total";"2006";"66 years";4
"Total";"2006";"67 years";1
"Total";"2006";"68 years";-1
"Total";"2006";"69 years";8
"Total";"2006";"70 years";2
"Total";"2006";"71 years";2
"Total";"2006";"72 years";-5
"Total";"2006";"73 years";1
"Total";"2006";"74 years";5
"Total";"2006";"75 years";-
"Total";"2006";"76 years";2
"Total";"2006";"77 years";-1
"Total";"2006";"78 years";-
"Total";"2006";"79 years";1
"Total";"2006";"80 years";-1
"Total";"2006";"81 years";1
"Total";"2006";"82 years";-
"Total";"2006";"83 years";-
"Total";"2006";"84 years";-
"Total";"2006";"85 years";-
"Total";"2006";"86 years";1
"Total";"2006";"87 years";-
"Total";"2006";"88 years";-
"Total";"2006";"89 years";0
"Total";"2006";"90 years";-
"Total";"2006";"91 years";-1
"Total";"2006";"92 years";1
"Total";"2006";"93 years";-
"Total";"2006";"94 years";-1
"Total";"2006";"95 years";-
"Total";"2006";"96 years";-
"Total";"2006";"97 years";-
"Total";"2006";"98 years";-
"Total";"2006";"99 years";-
"Total";"2006";"100 years";-
"Total";"2006";"101 years";-
"Total";"2006";"102 years";-
"Total";"2006";"103 years";-
"Total";"2006";"104 years";-
"Total";"2006";"105 years";-
"Total";"2006";"106 years";-
"Total";"2006";"107 years";-
"Total";"2006";"108 years";-
"Total";"2006";"109 years";-
"Total";"2006";"110 years";-
"Total";"2007";"1 year";34
"Total";"2007";"2 years";58
"Total";"2007";"3 years";26
"Total";"2007";"4 years";37
"Total";"2007";"5 years";41
"Total";"2007";"6 years";49
"Total";"2007";"7 years";40
"Total";"2007";"8 years";37
"Total";"2007";"9 years";38
"Total";"2007";"10 years";40
"Total";"2007";"11 years";41
"Total";"2007";"12 years";36
"Total";"2007";"13 years";38
"Total";"2007";"14 years";38
"Total";"2007";"15 years";52
"Total";"2007";"16 years";31
"Total";"2007";"17 years";25
"Total";"2007";"18 years";96
"Total";"2007";"19 years";175
"Total";"2007";"20 years";184
"Total";"2007";"21 years";229
"Total";"2007";"22 years";298
"Total";"2007";"23 years";300
"Total";"2007";"24 years";326
"Total";"2007";"25 years";352
"Total";"2007";"26 years";309
"Total";"2007";"27 years";253
"Total";"2007";"28 years";213
"Total";"2007";"29 years";160
"Total";"2007";"30 years";141
"Total";"2007";"31 years";184
"Total";"2007";"32 years";118
"Total";"2007";"33 years";70
"Total";"2007";"34 years";107
"Total";"2007";"35 years";99
"Total";"2007";"36 years";111
"Total";"2007";"37 years";112
"Total";"2007";"38 years";62
"Total";"2007";"39 years";76
"Total";"2007";"40 years";52
"Total";"2007";"41 years";58
"Total";"2007";"42 years";44
"Total";"2007";"43 years";65
"Total";"2007";"44 years";19
"Total";"2007";"45 years";51
"Total";"2007";"46 years";36
"Total";"2007";"47 years";13
"Total";"2007";"48 years";28
"Total";"2007";"49 years";37
"Total";"2007";"50 years";1
"Total";"2007";"51 years";38
"Total";"2007";"52 years";2
"Total";"2007";"53 years";8
"Total";"2007";"54 years";12
"Total";"2007";"55 years";-6
"Total";"2007";"56 years";5
"Total";"2007";"57 years";-3
"Total";"2007";"58 years";-5
"Total";"2007";"59 years";-4
"Total";"2007";"60 years";-4
"Total";"2007";"61 years";-2
"Total";"2007";"62 years";-6
"Total";"2007";"63 years";3
"Total";"2007";"64 years";-7
"Total";"2007";"65 years";2
"Total";"2007";"66 years";1
"Total";"2007";"67 years";-1
"Total";"2007";"68 years";0
"Total";"2007";"69 years";-2
"Total";"2007";"70 years";1
"Total";"2007";"71 years";-2
"Total";"2007";"72 years";4
"Total";"2007";"73 years";2
"Total";"2007";"74 years";3
"Total";"2007";"75 years";2
"Total";"2007";"76 years";-2
"Total";"2007";"77 years";-3
"Total";"2007";"78 years";-
"Total";"2007";"79 years";1
"Total";"2007";"80 years";1
"Total";"2007";"81 years";-
"Total";"2007";"82 years";-
"Total";"2007";"83 years";-
"Total";"2007";"84 years";0
"Total";"2007";"85 years";-
"Total";"2007";"86 years";-
"Total";"2007";"87 years";-
"Total";"2007";"88 years";2
"Total";"2007";"89 years";-
"Total";"2007";"90 years";-
"Total";"2007";"91 years";1
"Total";"2007";"92 years";-
"Total";"2007";"93 years";-
"Total";"2007";"94 years";-
"Total";"2007";"95 years";-
"Total";"2007";"96 years";-
"Total";"2007";"97 years";-
"Total";"2007";"98 years";-
"Total";"2007";"99 years";-
"Total";"2007";"100 years";-
"Total";"2007";"101 years";-
"Total";"2007";"102 years";-
"Total";"2007";"103 years";-
"Total";"2007";"104 years";-
"Total";"2007";"105 years";-
"Total";"2007";"106 years";-
"Total";"2007";"107 years";-
"Total";"2007";"108 years";-
"Total";"2007";"109 years";-
"Total";"2007";"110 years";-
"Total";"2008";"1 year";62
"Total";"2008";"2 years";29
"Total";"2008";"3 years";50
"Total";"2008";"4 years";20
"Total";"2008";"5 years";45
"Total";"2008";"6 years";23
"Total";"2008";"7 years";19
"Total";"2008";"8 years";42
"Total";"2008";"9 years";55
"Total";"2008";"10 years";19
"Total";"2008";"11 years";39
"Total";"2008";"12 years";38
"Total";"2008";"13 years";36
"Total";"2008";"14 years";37
"Total";"2008";"15 years";33
"Total";"2008";"16 years";55
"Total";"2008";"17 years";26
"Total";"2008";"18 years";82
"Total";"2008";"19 years";151
"Total";"2008";"20 years";87
"Total";"2008";"21 years";121
"Total";"2008";"22 years";173
"Total";"2008";"23 years";143
"Total";"2008";"24 years";169
"Total";"2008";"25 years";148
"Total";"2008";"26 years";55
"Total";"2008";"27 years";65
"Total";"2008";"28 years";47
"Total";"2008";"29 years";68
"Total";"2008";"30 years";-15
"Total";"2008";"31 years";20
"Total";"2008";"32 years";-27
"Total";"2008";"33 years";-22
"Total";"2008";"34 years";17
"Total";"2008";"35 years";-11
"Total";"2008";"36 years";20
"Total";"2008";"37 years";-44
"Total";"2008";"38 years";6
"Total";"2008";"39 years";-52
"Total";"2008";"40 years";-27
"Total";"2008";"41 years";-40
"Total";"2008";"42 years";-33
"Total";"2008";"43 years";-33
"Total";"2008";"44 years";-57
"Total";"2008";"45 years";-31
"Total";"2008";"46 years";-56
"Total";"2008";"47 years";-16
"Total";"2008";"48 years";-64
"Total";"2008";"49 years";-62
"Total";"2008";"50 years";-24
"Total";"2008";"51 years";-14
"Total";"2008";"52 years";-56
"Total";"2008";"53 years";-41
"Total";"2008";"54 years";-45
"Total";"2008";"55 years";-21
"Total";"2008";"56 years";-34
"Total";"2008";"57 years";-20
"Total";"2008";"58 years";-29
"Total";"2008";"59 years";-8
"Total";"2008";"60 years";-17
"Total";"2008";"61 years";6
"Total";"2008";"62 years";-1
"Total";"2008";"63 years";-2
"Total";"2008";"64 years";0
"Total";"2008";"65 years";-3
"Total";"2008";"66 years";-4
"Total";"2008";"67 years";-3
"Total";"2008";"68 years";-2
"Total";"2008";"69 years";0
"Total";"2008";"70 years";-3
"Total";"2008";"71 years";1
"Total";"2008";"72 years";-3
"Total";"2008";"73 years";-1
"Total";"2008";"74 years";2
"Total";"2008";"75 years";1
"Total";"2008";"76 years";-2
"Total";"2008";"77 years";1
"Total";"2008";"78 years";0
"Total";"2008";"79 years";2
"Total";"2008";"80 years";2
"Total";"2008";"81 years";2
"Total";"2008";"82 years";-2
"Total";"2008";"83 years";-
"Total";"2008";"84 years";-
"Total";"2008";"85 years";-
"Total";"2008";"86 years";-2
"Total";"2008";"87 years";-
"Total";"2008";"88 years";-1
"Total";"2008";"89 years";-
"Total";"2008";"90 years";-
"Total";"2008";"91 years";-
"Total";"2008";"92 years";-
"Total";"2008";"93 years";-
"Total";"2008";"94 years";-
"Total";"2008";"95 years";-
"Total";"2008";"96 years";-
"Total";"2008";"97 years";-
"Total";"2008";"98 years";-
"Total";"2008";"99 years";-
"Total";"2008";"100 years";-
"Total";"2008";"101 years";-
"Total";"2008";"102 years";-
"Total";"2008";"103 years";-
"Total";"2008";"104 years";-
"Total";"2008";"105 years";-
"Total";"2008";"106 years";-
"Total";"2008";"107 years";-
"Total";"2008";"108 years";-
"Total";"2008";"109 years";-
"Total";"2008";"110 years";-
"Total";"2009";"1 year";-68
"Total";"2009";"2 years";-64
"Total";"2009";"3 years";-53
"Total";"2009";"4 years";-40
"Total";"2009";"5 years";-41
"Total";"2009";"6 years";-17
"Total";"2009";"7 years";-30
"Total";"2009";"8 years";-31
"Total";"2009";"9 years";-12
"Total";"2009";"10 years";-34
"Total";"2009";"11 years";-13
"Total";"2009";"12 years";-18
"Total";"2009";"13 years";-11
"Total";"2009";"14 years";-24
"Total";"2009";"15 years";1
"Total";"2009";"16 years";18
"Total";"2009";"17 years";8
"Total";"2009";"18 years";-9
"Total";"2009";"19 years";3
"Total";"2009";"20 years";-39
"Total";"2009";"21 years";-83
"Total";"2009";"22 years";-71
"Total";"2009";"23 years";-112
"Total";"2009";"24 years";-106
"Total";"2009";"25 years";-187
"Total";"2009";"26 years";-200
"Total";"2009";"27 years";-179
"Total";"2009";"28 years";-231
"Total";"2009";"29 years";-198
"Total";"2009";"30 years";-155
"Total";"2009";"31 years";-205
"Total";"2009";"32 years";-191
"Total";"2009";"33 years";-156
"Total";"2009";"34 years";-135
"Total";"2009";"35 years";-143
"Total";"2009";"36 years";-149
"Total";"2009";"37 years";-134
"Total";"2009";"38 years";-117
"Total";"2009";"39 years";-121
"Total";"2009";"40 years";-139
"Total";"2009";"41 years";-81
"Total";"2009";"42 years";-89
"Total";"2009";"43 years";-87
"Total";"2009";"44 years";-115
"Total";"2009";"45 years";-73
"Total";"2009";"46 years";-57
"Total";"2009";"47 years";-94
"Total";"2009";"48 years";-68
"Total";"2009";"49 years";-86
"Total";"2009";"50 years";-63
"Total";"2009";"51 years";-83
"Total";"2009";"52 years";-65
"Total";"2009";"53 years";-68
"Total";"2009";"54 years";-47
"Total";"2009";"55 years";-39
"Total";"2009";"56 years";-36
"Total";"2009";"57 years";-30
"Total";"2009";"58 years";-19
"Total";"2009";"59 years";-16
"Total";"2009";"60 years";-42
"Total";"2009";"61 years";-11
"Total";"2009";"62 years";-14
"Total";"2009";"63 years";-1
"Total";"2009";"64 years";-1
"Total";"2009";"65 years";-5
"Total";"2009";"66 years";-8
"Total";"2009";"67 years";-3
"Total";"2009";"68 years";-1
"Total";"2009";"69 years";0
"Total";"2009";"70 years";2
"Total";"2009";"71 years";2
"Total";"2009";"72 years";-3
"Total";"2009";"73 years";1
"Total";"2009";"74 years";1
"Total";"2009";"75 years";-1
"Total";"2009";"76 years";-1
"Total";"2009";"77 years";0
"Total";"2009";"78 years";1
"Total";"2009";"79 years";-1
"Total";"2009";"80 years";2
"Total";"2009";"81 years";2
"Total";"2009";"82 years";2
"Total";"2009";"83 years";-
"Total";"2009";"84 years";0
"Total";"2009";"85 years";-
"Total";"2009";"86 years";-
"Total";"2009";"87 years";2
"Total";"2009";"88 years";1
"Total";"2009";"89 years";-
"Total";"2009";"90 years";-
"Total";"2009";"91 years";-
"Total";"2009";"92 years";1
"Total";"2009";"93 years";-
"Total";"2009";"94 years";-
"Total";"2009";"95 years";-
"Total";"2009";"96 years";-
"Total";"2009";"97 years";-
"Total";"2009";"98 years";-
"Total";"2009";"99 years";-
"Total";"2009";"100 years";-
"Total";"2009";"101 years";-
"Total";"2009";"102 years";-
"Total";"2009";"103 years";-
"Total";"2009";"104 years";-
"Total";"2009";"105 years";-
"Total";"2009";"106 years";-
"Total";"2009";"107 years";-
"Total";"2009";"108 years";-
"Total";"2009";"109 years";-
"Total";"2009";"110 years";-
"Total";"2010";"1 year";-59
"Total";"2010";"2 years";-41
"Total";"2010";"3 years";-25
"Total";"2010";"4 years";-52
"Total";"2010";"5 years";-40
"Total";"2010";"6 years";-34
"Total";"2010";"7 years";-34
"Total";"2010";"8 years";-32
"Total";"2010";"9 years";-3
"Total";"2010";"10 years";-18
"Total";"2010";"11 years";-7
"Total";"2010";"12 years";-19
"Total";"2010";"13 years";-7
"Total";"2010";"14 years";2
"Total";"2010";"15 years";-4
"Total";"2010";"16 years";9
"Total";"2010";"17 years";-21
"Total";"2010";"18 years";-4
"Total";"2010";"19 years";20
"Total";"2010";"20 years";-9
"Total";"2010";"21 years";25
"Total";"2010";"22 years";25
"Total";"2010";"23 years";-14
"Total";"2010";"24 years";-60
"Total";"2010";"25 years";-61
"Total";"2010";"26 years";-84
"Total";"2010";"27 years";-74
"Total";"2010";"28 years";-90
"Total";"2010";"29 years";-88
"Total";"2010";"30 years";-77
"Total";"2010";"31 years";-68
"Total";"2010";"32 years";-89
"Total";"2010";"33 years";-98
"Total";"2010";"34 years";-71
"Total";"2010";"35 years";-61
"Total";"2010";"36 years";-60
"Total";"2010";"37 years";-49
"Total";"2010";"38 years";-60
"Total";"2010";"39 years";-53
"Total";"2010";"40 years";-39
"Total";"2010";"41 years";-39
"Total";"2010";"42 years";-45
"Total";"2010";"43 years";-37
"Total";"2010";"44 years";-39
"Total";"2010";"45 years";-45
"Total";"2010";"46 years";-50
"Total";"2010";"47 years";-39
"Total";"2010";"48 years";-19
"Total";"2010";"49 years";-21
"Total";"2010";"50 years";-38
"Total";"2010";"51 years";-33
"Total";"2010";"52 years";-40
"Total";"2010";"53 years";-26
"Total";"2010";"54 years";-12
"Total";"2010";"55 years";-22
"Total";"2010";"56 years";-17
"Total";"2010";"57 years";-14
"Total";"2010";"58 years";-11
"Total";"2010";"59 years";-24
"Total";"2010";"60 years";-8
"Total";"2010";"61 years";-4
"Total";"2010";"62 years";-1
"Total";"2010";"63 years";-7
"Total";"2010";"64 years";-1
"Total";"2010";"65 years";-9
"Total";"2010";"66 years";5
"Total";"2010";"67 years";5
"Total";"2010";"68 years";0
"Total";"2010";"69 years";-2
"Total";"2010";"70 years";2
"Total";"2010";"71 years";4
"Total";"2010";"72 years";0
"Total";"2010";"73 years";2
"Total";"2010";"74 years";0
"Total";"2010";"75 years";-1
"Total";"2010";"76 years";1
"Total";"2010";"77 years";-3
"Total";"2010";"78 years";1
"Total";"2010";"79 years";-1
"Total";"2010";"80 years";-
"Total";"2010";"81 years";-1
"Total";"2010";"82 years";-
"Total";"2010";"83 years";-1
"Total";"2010";"84 years";-
"Total";"2010";"85 years";0
